2026-03-22 15:58:10,193 [INFO] Бот запущен. Жди сообщений...
2026-03-22 16:21:33,946 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:21:44,708 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:21:55,473 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:22:06,262 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:22:20,156 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:22:30,937 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:22:49,100 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:22:59,843 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:23:10,588 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:23:21,293 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:23:32,979 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:23:43,685 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:23:54,235 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:24:08,026 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:24:21,972 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:24:32,847 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:24:43,561 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:24:54,237 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:25:05,062 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:25:15,748 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:25:26,702 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:25:39,452 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:25:50,126 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:26:00,942 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:26:11,666 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:26:22,541 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:26:34,320 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:26:48,783 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:26:59,531 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:27:12,043 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:27:23,187 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:27:34,407 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:27:45,418 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:27:56,369 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:28:07,414 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:28:21,108 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:28:33,292 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:28:44,276 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:28:55,237 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:29:05,944 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:29:16,612 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:29:27,765 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:29:38,527 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:29:49,537 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:30:00,283 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:30:11,283 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:30:22,051 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:30:33,748 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:30:44,680 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:30:55,395 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:31:06,156 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:31:17,296 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:31:28,009 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:31:38,734 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:31:49,576 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:32:00,346 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:32:11,055 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:32:21,773 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:32:32,460 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:32:43,239 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:32:54,382 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:33:06,317 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:33:17,243 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:33:27,999 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:33:38,746 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:33:49,299 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:34:00,315 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:34:11,006 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:34:21,727 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:34:32,402 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:34:45,570 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:34:56,320 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:35:07,156 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:35:17,912 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:35:29,014 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:35:39,573 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:35:50,311 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:36:01,081 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:36:12,034 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:36:23,967 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:36:35,855 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:36:47,696 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:36:59,097 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:37:09,800 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:37:20,530 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:37:31,240 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:37:41,963 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:37:52,945 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:38:03,665 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:38:14,536 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:38:25,223 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:38:37,770 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:38:48,711 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
